expression,folder,n_rows,n_viewpoints,complete_215,A_cosine_left,A_cosine_right,A_cosine_detected_left,A_cosine_detected_right,A_angular_left,A_angular_right,A_angular_detected_left,A_angular_detected_right,A_euclidean_left,A_euclidean_right,A_euclidean_detected_left,A_euclidean_detected_right,A_path_left,A_path_right,A_path_detected_left,A_path_detected_right,A_rate_left,A_rate_right,A_rate_detected_left,A_rate_detected_right,A_curvature_left,A_curvature_right,A_curvature_detected_left,A_curvature_detected_right,A_instability_left,A_instability_right,A_instability_detected_left,A_instability_detected_right,C_left,C_right,C_detected_left,C_detected_right,B_left,B_right,B_detected_left,B_detected_right,missing_left,missing_right,left_ordering,right_ordering
BreathTaking Over The Moon,Female_BreathTaking Over The Moon,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,1.0,True,True,,,False,False,212.0,29.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
Chewing,Female_Chewing,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,201.0,1.0,True,True,,,False,False,211.0,7.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
Choking,Female_Choking,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,1.0,True,True,,,False,False,212.0,4.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
Coughing,Female_Coughing,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,2.0,True,True,,,False,False,201.0,1.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
Crazed,Female_Crazed,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,1.0,True,True,,,False,False,209.0,1.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
Crying,Female_Crying,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,213.0,8.0,True,True,,,False,False,213.0,6.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
Cute,Female_Cute 01,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,3.0,True,True,,,False,False,213.0,1.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
Cute,Female_Cute 02,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,1.0,True,True,,,False,False,191.0,1.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
Cute,Female_Cute 03,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,212.0,2.0,True,True,,,False,False,211.0,13.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
Cute,Female_Cute 04,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,212.0,2.0,True,True,,,False,False,212.0,13.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
Cute,Female_Cute 05,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,211.0,1.0,True,True,,,False,False,210.0,5.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
Despise,Female_Despise 01,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,213.0,1.0,True,True,,,False,False,213.0,4.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
Despise,Female_Despise 02,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,2.0,True,True,,,False,False,213.0,1.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
Despise,Female_Despise 03,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,2.0,True,True,,,False,False,156.0,4.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
Despise,Female_Despise 04,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,201.0,2.0,True,True,,,False,False,213.0,13.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
Despise,Female_Despise 05,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,194.0,1.0,True,True,,,False,False,177.0,4.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
Determined,Female_Determined,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,204.0,1.0,True,True,,,False,False,202.0,1.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
Distrust,Female_Distrust 01,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,3.0,True,True,,,False,False,206.0,5.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
Distrust,Female_Distrust 02,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,2.0,True,True,,,False,False,196.0,4.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
Distrust,Female_Distrust 03,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,2.0,True,True,,,False,False,207.0,1.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
Distrust,Female_Distrust 04,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,1.0,True,True,,,False,False,206.0,1.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
Distrust,Female_Distrust 05,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,7.0,True,True,,,False,False,212.0,2.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
Empathy,Female_Empathy 01,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,207.0,2.0,True,True,,,False,False,207.0,13.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
Empathy,Female_Empathy 02,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,12.0,True,True,,,False,False,205.0,3.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
Empathy,Female_Empathy 03,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,2.0,True,True,,,False,False,210.0,3.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
Empathy,Female_Empathy 04,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,196.0,1.0,True,True,,,False,False,195.0,1.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
Empathy,Female_Empathy 05,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,202.0,1.0,True,True,,,False,False,211.0,3.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
Expressions Anger,Female_Expressions Anger 01,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,203.0,1.0,True,True,111.0,107.0,True,True,202.0,3.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
Expressions Anger,Female_Expressions Anger 02,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,204.0,4.0,True,True,112.0,107.0,True,True,202.0,3.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
Expressions Anger,Female_Expressions Anger 03,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,204.0,14.0,True,True,111.0,107.0,True,True,202.0,156.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
Expressions Anger,Female_Expressions Anger 04,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,205.0,1.0,True,True,111.0,108.0,True,True,205.0,1.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
Expressions Anger,Female_Expressions Anger 05,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,193.0,13.0,True,True,113.0,108.0,True,True,190.0,12.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
Expressions Confusion,Female_Expressions Confusion 01,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,194.0,1.0,True,True,,,False,False,193.0,2.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
Expressions Confusion,Female_Expressions Confusion 02,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,197.0,3.0,True,True,110.0,107.0,True,True,207.0,4.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
Expressions Confusion,Female_Expressions Confusion 03,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,202.0,12.0,True,True,112.0,107.0,True,True,190.0,3.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
Expressions Confusion,Female_Expressions Confusion 04,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,195.0,13.0,True,True,115.0,107.0,True,True,191.0,12.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
Expressions Confusion,Female_Expressions Confusion 05,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,205.0,1.0,True,True,111.0,108.0,True,True,205.0,1.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
Expressions Contempt,Female_Expressions Contempt 01,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,203.0,3.0,True,True,114.0,108.0,True,True,195.0,1.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
Expressions Contempt,Female_Expressions Contempt 02,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,204.0,1.0,True,True,111.0,107.0,True,True,195.0,1.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
Expressions Contempt,Female_Expressions Contempt 03,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,204.0,1.0,True,True,114.0,107.0,True,True,195.0,3.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
Expressions Contempt,Female_Expressions Contempt 04,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,204.0,4.0,True,True,114.0,107.0,True,True,194.0,3.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
Expressions Contempt,Female_Expressions Contempt 05,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,204.0,1.0,True,True,112.0,108.0,True,True,182.0,2.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
Expressions Desire,Female_Expressions Desire 01,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,193.0,4.0,True,True,,,False,False,207.0,13.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
Expressions Desire,Female_Expressions Desire 02,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,193.0,4.0,True,True,112.0,107.0,True,True,193.0,11.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
Expressions Desire,Female_Expressions Desire 03,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,204.0,4.0,True,True,111.0,107.0,True,True,195.0,3.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
Expressions Desire,Female_Expressions Desire 04,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,204.0,1.0,True,True,,,False,False,206.0,1.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
Expressions Desire,Female_Expressions Desire 05,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,194.0,4.0,True,True,112.0,108.0,True,True,194.0,13.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
Expressions Disgust,Female_Expressions Disgust 01,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,204.0,4.0,True,True,114.0,111.0,True,True,194.0,2.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
Expressions Disgust,Female_Expressions Disgust 02,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,183.0,3.0,True,True,112.0,108.0,True,True,182.0,13.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
Expressions Disgust,Female_Expressions Disgust 03,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,195.0,1.0,True,True,112.0,108.0,True,True,183.0,13.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
Expressions Disgust,Female_Expressions Disgust 04,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,194.0,149.0,True,True,,,False,False,193.0,7.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
Expressions Disgust,Female_Expressions Disgust 05,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,187.0,1.0,True,True,112.0,107.0,True,True,187.0,13.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
Expressions Excitement,Female_Expressions Excitement 01,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,196.0,1.0,True,True,111.0,108.0,True,True,206.0,2.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
Expressions Excitement,Female_Expressions Excitement 02,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,185.0,2.0,True,True,113.0,110.0,True,True,204.0,1.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
Expressions Excitement,Female_Expressions Excitement 03,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,193.0,12.0,True,True,114.0,108.0,True,True,183.0,12.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
Expressions Excitement,Female_Expressions Excitement 04,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,196.0,1.0,True,True,112.0,107.0,True,True,207.0,4.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
Expressions Excitement,Female_Expressions Excitement 05,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,204.0,1.0,True,True,112.0,107.0,True,True,203.0,2.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
Expressions Fear,Female_Expressions Fear 01,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,205.0,14.0,True,True,111.0,108.0,True,True,205.0,13.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
Expressions Fear,Female_Expressions Fear 02,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,206.0,1.0,True,True,110.0,108.0,True,True,204.0,1.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
Expressions Fear,Female_Expressions Fear 03,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,196.0,1.0,True,True,112.0,107.0,True,True,192.0,1.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
Expressions Fear,Female_Expressions Fear 04,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,202.0,3.0,True,True,111.0,107.0,True,True,182.0,3.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
Expressions Fear,Female_Expressions Fear 05,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,203.0,4.0,True,True,110.0,108.0,True,True,168.0,3.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
Expressions Happiness,Female_Expressions Happiness 01,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,203.0,11.0,True,True,115.0,107.0,True,True,202.0,13.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
Expressions Happiness,Female_Expressions Happiness 02,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,204.0,13.0,True,True,112.0,107.0,True,True,191.0,3.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
Expressions Happiness,Female_Expressions Happiness 03,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,202.0,2.0,True,True,112.0,107.0,True,True,206.0,1.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
Expressions Happiness,Female_Expressions Happiness 04,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,203.0,1.0,True,True,116.0,107.0,True,True,192.0,13.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
Expressions Happiness,Female_Expressions Happiness 05,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,195.0,2.0,True,True,114.0,107.0,True,True,191.0,13.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
Expressions Sadness,Female_Expressions Sadness 01,215,215,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,194.0,3.0,True,True,110.0,107.0,True,True,191.0,12.0,True,True,214.0,0.0,True,True,214.0,0.0,True,True,,,tie,tie
